security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
APO,0.010444124522971896,0.005371024837594072,34.39793235972562,7.687656798667881,-56.4066755965573,-18.757500191781187,-269.86760525616256,-41.35296333556671,2,2,1,-0.14989211878153907,-0.06865618191547818,0.024224034822104334,0.033281772445820534
AR,0.0003254497407476382,0.0001527756975780976,0.17612860176511783,0.10919608047585473,-0.5831544619643985,0.21357833116224456,-0.917164249626983,-0.17734939054923693,0,1,0,-0.018531718440139566,-0.015162118453784346,-0.005676395727360228,-0.0329519908466821
ARCC,0.00016319266255317196,5.563305972472541e-06,0.8538613115502788,0.0010921811110328353,-0.8617585246866415,0.3802320095885384,-33.55481840946625,0.6004234939789949,4,0,0,-0.006107577453637991,0.003279090187483069,-0.023823822285656826,0.004584526957906787
ARD,0.0016318847573307915,0.0004979601197159448,1.4158252798909303,0.2729854084426321,-4.714149594661577,-5.0253053886082135,-9.968450057182059,-6.335559037543227,0,1,1,-0.012827200908971048,-0.01064518480877985,0.028222060206961386,0.009425118257545773
ARE,3.783903248958265e-05,0.00019412111648772087,0.8348693366220645,0.8960985637138642,-0.27478303366521595,-3.293590214539698,-1.190290049235872,-0.5162931431191762,0,1,0,0.009781081356524224,0.008231413268387833,0.015442993293328655,0.002011685436688726
ARMK,0.00021903178437833416,2.577676670790222e-06,0.2050644163898209,0.028768872556075128,-0.6746528222219146,0.5280546424274877,-0.17620855133315283,-2.8979401052351785,1,0,0,-0.0006903666379809437,-0.004930149524374983,0.016707779606013773,-0.005440615094701506
ARNC,0.00020941376829604214,0.00012645625343413948,0.8483576551349827,1.00287750313283,-1.3938237015784307,-2.6363404188141972,-12.522118457360161,-38.793294973314325,0,0,0,4.6355808080988936e-11,-3.542344195750502e-11,0.01605668349302891,0.006300952345574595
ARRS,0.008516810611976977,0.00010317055809313216,2.4127569123492174,0.1603998326747195,-5.166334671850558,-1.6817143356279205,-1.7291201907973544,-5.2056981920871195,0,0,2,-1.5893292766300249e-06,0.004547318073891526,0.10988146679373378,-0.01620370370370372
ARW,0.003707845575237574,0.0004632506396502812,23.111269459088476,1.0262249083750148,-5.661002010834422,-1.3749371745059245,-7.000079582105297,0.01973206470652722,1,1,0,-0.004371890281410495,-0.0015300397874630223,0.06510274756936774,-0.02634452562531997
ASH,8.662347187210155e-05,0.0008027013070834264,15.435683193875375,6.778313611090858,-0.7655035959071437,-3.0859374963898443,-20.283085229617985,-1.1204615386330747,0,1,2,0.005098504802998782,-0.0014411187905726264,0.004688271020097501,-0.041941040168407606
ASML,0.0011762162044067922,0.00046008559424286054,50.34758161716331,2.9502499691134028,-31.64712486387372,-4.169165236195407,-76.62928211440985,-0.8761079543356258,1,2,1,0.059232049748654036,0.032306854542388574,-7.44875914806542e-05,0.01557085454547713
ASR,0.00017425425450383192,0.0008752898512829999,57.5192986671018,57.32580896320561,-0.25650852116547496,0.13458001734653346,-9.85736138813621,-0.581365261591537,0,1,1,0.012056385553096627,0.01107854610702419,-0.0023023638112411593,0.07754063203684547
ASX,0.00011674842716921999,0.00047731247126311737,0.004162257526310572,0.005673662459326681,-1.2096156865188332,-1.0613209777567998,-1.0559538184397033,0.4110384990318324,0,1,0,-0.01500268004734584,-0.012317438577601925,0.011308562197092087,-0.037209302325581395
ATH,0.00010914855104423422,0.0002857180736257223,6.577326039833726,0.9810220717329777,-1.5983105375942919,-5.714088925924335,-54.114776240779264,-6.867777760866956,4,1,1,0.025324572355338804,0.017249945008674494,0.0061914072456175084,0.0031405504684915986
ATO,0.00021325135436458742,5.1117199088700135e-05,1.3158416682478011,1.1063380705940145,-1.9023415875749392,-2.0175347485456254,-1.7905312310078965,-9.088185107029913,2,0,1,-0.0001584401256512491,0.0019561260709652917,0.008488328442287862,0.0032314442360359408
ATR,0.00035405573015795985,0.00014374843813701326,11.675982044105629,1.53258492604159,-2.7232654528250992,-0.7717465348562225,-17.971153020866343,-2.0719259717046103,0,1,0,0.005204491544079648,0.004359766535487752,0.02585459387897804,0.02274701671889212
ATVI,0.0009417347453910439,0.0002339281882214938,8.865536502513285,1.2837216151588446,-1.0566056385245903,-0.556495563553846,-5.934287319422777,-2.2380692824490827,0,1,0,0.007275265609872905,0.006107152674935223,0.055071915215745504,0.03251553675008667
AVB,0.00014124359547638894,2.352611999452535e-05,15.120190471997208,9.134632781572082,-3.00770121191987,0.31560462124964217,-11.000314752590189,-6.417172914485592,0,1,0,0.004750516411834882,0.003977659593145111,0.014491246937896607,0.010143691938628852
AVGO,0.0008412478790467248,0.0007454711940648216,259.04235913290825,31.091035434414966,-4.087157277977604,-14.46231584418529,-29.970133782530755,-11.94465531381844,0,2,1,0.07461944110216501,0.043216397640591486,0.027523353335438427,0.010080645296782764
AVY,2.2940718679936882e-05,2.5052561131964194e-05,0.4804563787692389,0.7250094168051614,-0.43225212726964224,-0.06902158641526634,-3.3187639729981333,-3.555311932254141,0,1,2,0.006226905133309035,0.008982981515950783,0.002999760163175491,0.012619742137131684
AWK,0.0008776784281272846,0.0005110842616745476,31.84062879249162,2.0638433789283464,-7.896662569213248,-5.735391610762228,-52.46029197986291,-3.1924440707888655,0,1,1,0.013799565821953408,0.011550318693499984,-0.02548257498645723,-0.02297148668393134
AXP,0.00013338372707569533,0.000248559976174205,10.799675836696347,1.494737051982711,-9.644291283077001,-3.61361925953205,-137.6888499248893,-3.2675838755633952,0,1,0,0.008741715710797404,0.00734900601365962,-0.011543878940914132,-0.013518492379455238
AXS,6.816719662089528e-05,0.00039904240798527155,2.14339191592613,0.9908999935566444,0.5137700206442029,-1.0120429551353958,-2.51084500206577,-0.09075527323064003,3,0,4,-0.01769902645157595,0.002676012563972874,-0.03379299996341878,-0.026152423167848826
AXTA,0.00034980915486389257,0.0003331511760698903,0.15460599449547696,0.11976975030889896,-7.704581670674026,-1.8531791268916962,-3.024056699673559,0.01071127084992829,2,0,2,-0.010199478975104426,-0.0007854669633655664,0.016170763260025867,-0.03136645865321552
AYI,0.0006548684423445939,0.0010719274985040786,404.6136054824936,72.61269082525445,0.2572930871030856,-41.53457864286738,-13.59612036403987,-91.68000845981311,0,2,1,0.1284140569338006,0.06321626152983884,0.0635610181440529,0.01315784884241733
AZN,0.0003372280856839772,9.595431276116738e-05,1.296374480011005,0.30066263516965447,-2.307713215084564,-0.8600033510284331,-12.668942151537975,-5.269224731191446,0,1,0,-0.012185805866756994,-0.010032583118841698,0.020655704918032702,0.00688753689734356
AZO,0.0023830206329373094,0.003042012634095487,12166.316707586162,2827.23342765449,-37.30851490428688,-9.78483679056512,-401.3803831381549,-18.768833943037645,0,2,1,0.08982396788843428,0.0531939459160673,-0.004776409296644912,-0.032469168419709704
BA,0.00012898467618556212,3.602370645431487e-05,32.31427137929347,9.259950702001085,-1.7022681070236891,-0.2802328448039815,-19.438898516241743,-8.922335264130991,4,1,3,-0.0007260205735184488,-0.0057148350254295766,0.010677477204865893,-0.0003814056351609807
BABA,0.00011491660648117338,4.264240586769024e-05,2.2503903002611154,0.42101480989615786,0.5503847495316958,0.4932397449227056,0.35204850648245534,0.6248157084334246,0,1,0,0.020010386848277495,0.017015815461288053,0.03079698035515155,0.022601255041533097
BAC,0.0007405133786819732,0.0007757842072021757,1.0278785446874703,0.129528839927976,-19.9971214318311,-8.665328428089722,-50.58343847065951,-1.8063627041243118,4,0,1,-0.027634182321812695,0.010613382698083651,0.01262095077829195,-0.01876559633027519
